30350	COG0001
30351	COG0002
30352	COG0003
30353	COG0004
30354	COG0005
30356	COG0006
30357	COG0007
30358	COG0008
30359	COG0009
30360	COG0010
30361	COG0011
30362	COG0012
30363	COG0013
30364	COG0014
30365	COG0015
30366	COG0016
30367	COG0017
30368	COG0018
30369	COG0019
30370	COG0020
30371	COG0021
30372	COG0022
30373	COG0023
30374	COG0024
30375	COG0025
30376	COG0026
30377	COG0027
30378	COG0028
30379	COG0029
30380	COG0030
30381	COG0031
30382	COG0033
30383	COG0034
30384	COG0035
30385	COG0036
30386	COG0037
30387	COG0038
30388	COG0039
30389	COG0040
30390	COG0041
30391	COG0042
30392	COG0043
30393	COG0044
30394	COG0045
30395	COG0046
30396	COG0047
30397	COG0048
30398	COG0049
30399	COG0050
30400	COG0051
30401	COG0052
30402	COG0053
30403	COG0054
30404	COG0055
30405	COG0056
30406	COG0057
30407	COG0058
30408	COG0059
30409	COG0060
30410	COG0061
30411	COG0062
30412	COG0063
30413	COG0064
30414	COG0065
30415	COG0066
30416	COG0067
30417	COG0068
30418	COG0069
30419	COG0070
30420	COG0071
30421	COG0072
30422	COG0073
30423	COG0074
30424	COG0075
30425	COG0076
30426	COG0077
30427	COG0078
30428	COG0079
30429	COG0080
30430	COG0081
30431	COG0082
30432	COG0083
30433	COG0084
30434	COG0085
30435	COG0086
30436	COG0087
30437	COG0088
30438	COG0089
30439	COG0090
30440	COG0091
30441	COG0092
30442	COG0093
30443	COG0094
30444	COG0095
30445	COG0096
30446	COG0097
30447	COG0098
30448	COG0099
30449	COG0100
30450	COG0101
30451	COG0102
30452	COG0103
30453	COG0104
30454	COG0105
30455	COG0106
30456	COG0107
30457	COG0108
30458	COG0109
30459	COG0110
30460	COG0111
30461	COG0112
30462	COG0113
30463	COG0114
30464	COG0115
30465	COG0116
30466	COG0117
30467	COG0118
30468	COG0119
30469	COG0120
30470	COG0121
30471	COG0122
30472	COG0123
30473	COG0124
30474	COG0125
30475	COG0126
30476	COG0127
30477	COG0128
30478	COG0129
30479	COG0130
30480	COG0131
30481	COG0132
30482	COG0133
30483	COG0134
30484	COG0135
30485	COG0136
30486	COG0137
30487	COG0138
30488	COG0139
30489	COG0140
30490	COG0141
30491	COG0142
30492	COG0143
30493	COG0144
30494	COG0145
30495	COG0146
30496	COG0147
30497	COG0148
30498	COG0149
30499	COG0150
30500	COG0151
30501	COG0152
30502	COG0153
30503	COG0154
30504	COG0155
30505	COG0156
30506	COG0157
30507	COG0158
30508	COG0159
30509	COG0160
30510	COG0161
30511	COG0162
30512	COG0163
30513	COG0164
30514	COG0165
30515	COG0166
30516	COG0167
30517	COG0168
30518	COG0169
30519	COG0170
30520	COG0171
30521	COG0172
30522	COG0173
30523	COG0174
30524	COG0175
30525	COG0176
30526	COG0177
30527	COG0178
30528	COG0179
30529	COG0180
30530	COG0181
30531	COG0182
30532	COG0183
30533	COG0184
30534	COG0185
30535	COG0186
30536	COG0187
30537	COG0188
30538	COG0189
30539	COG0190
30540	COG0191
30541	COG0192
30542	COG0193
30543	COG0194
30544	COG0195
30545	COG0196
30546	COG0197
30547	COG0198
30548	COG0199
30549	COG0200
30550	COG0201
30551	COG0202
30552	COG0203
30553	COG0204
30554	COG0205
30555	COG0206
30556	COG0207
30557	COG0208
73173	COG0209
30559	COG0210
30560	COG0211
30561	COG0212
30562	COG0213
30563	COG0214
30564	COG0215
30565	COG0216
30566	COG0217
30567	COG0218
30568	COG0219
30569	COG0220
30570	COG0221
30571	COG0222
30572	COG0223
30573	COG0224
30574	COG0225
30575	COG0226
30576	COG0227
30577	COG0228
30578	COG0229
30579	COG0230
30580	COG0231
30581	COG0232
30582	COG0233
30583	COG0234
30584	COG0235
30585	COG0236
30586	COG0237
30587	COG0238
30588	COG0239
30589	COG0240
30590	COG0241
30591	COG0242
30592	COG0243
30593	COG0244
30594	COG0245
30595	COG0246
30596	COG0247
30597	COG0248
30598	COG0249
30599	COG0250
30600	COG0251
30601	COG0252
30602	COG0253
30603	COG0254
30604	COG0255
30605	COG0256
30606	COG0257
30607	COG0258
30608	COG0259
30609	COG0260
30610	COG0261
30611	COG0262
30612	COG0263
30613	COG0264
30614	COG0265
30615	COG0266
30616	COG0267
30617	COG0268
30618	COG0269
30619	COG0270
30620	COG0271
30621	COG0272
30622	COG0274
30623	COG0275
30624	COG0276
30625	COG0277
30626	COG0278
30627	COG0279
30628	COG0280
30629	COG0281
30630	COG0282
30631	COG0283
30632	COG0284
30633	COG0285
30634	COG0286
30635	COG0287
30636	COG0288
30637	COG0289
30638	COG0290
30639	COG0291
30640	COG0292
30641	COG0293
30642	COG0294
30643	COG0295
30644	COG0296
30645	COG0297
30646	COG0298
30647	COG0299
30648	COG0300
30649	COG0301
30650	COG0302
30651	COG0303
30652	COG0304
30653	COG0305
30654	COG0306
30655	COG0307
30656	COG0308
30657	COG0309
30658	COG0310
30659	COG0311
30660	COG0312
30661	COG0313
30662	COG0314
30663	COG0315
30664	COG0316
30665	COG0317
30666	COG0318
30667	COG0319
30668	COG0320
30669	COG0321
30670	COG0322
30671	COG0323
30672	COG0324
30673	COG0325
30674	COG0326
30675	COG0327
30676	COG0328
30677	COG0329
30678	COG0330
30679	COG0331
30680	COG0332
30681	COG0333
30682	COG0334
30683	COG0335
30684	COG0336
30685	COG0337
30686	COG0338
30687	COG0339
30688	COG0340
